Sample Name,CRf_ID,CRf_cluster,CRf_notes,PaxC_ID,PaxC_length,PaxC_cluster,PaxC_notes,photograph,final-determination
106,AH231,hyacinthus/cytherea,,AH397,short,hyacinthus/cytherea,,,hyacinthus/cytherea
107,AH238,hyacinthus/cytherea,,AH404,short,hyacinthus/cytherea,,,hyacinthus/cytherea
108,AH245,globiceps,,AH411,long,other,,,globiceps
109,AH252,unknown,,AH418,long,other,,,unknown
110,AH259,hyacinthus/cytherea,,AH425,short,hyacinthus/cytherea,,,hyacinthus/cytherea
111,AH266,hyacinthus/cytherea,,AH432,short,hyacinthus/cytherea,,,hyacinthus/cytherea
142,AH240,lutkeni/pulchra,,AH406,long,other,,lutkeni?,lutkeni/pulchra
143,AH247,hyacinthus/cytherea,,AH413,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
144,AH254,hyacinthus/cytherea,,AH420,short,hyacinthus/cytherea,,cytherea?,hyacinthus/cytherea
145,AH261,lutkeni/pulchra,,AH427,long,other,,lutkeni?,lutkeni/pulchra
146,AH268,hyacinthus/cytherea,,AH434,short,hyacinthus/cytherea,,cytherea?,hyacinthus/cytherea
147,AH275,hyacinthus/cytherea,,AH441,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
148,AH256,NA,couldn't assemble pairs,AH422,short,hyacinthus/cytherea,,hyacinthus?,hyacinthus/cytherea
149,AH281,retusa,,AH447,long,other,,retusa?,retusa
150,AH263,lutkeni/pulchra,,AH429,long,other,,lutkeni?,lutkeni/pulchra
151,AH206,hyacinthus,,AH372,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
152,AH213,hyacinthus/cytherea,,AH379,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
153,AH220,hyacinthus/cytherea,,AH386,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
154,AH227,species unclear ,,AH393,long,other,,unsure?,unknown
155,AH234,lutkeni/pulchra,,AH400,long,other,,lutkeni?,lutkeni/pulchra
156,AH241,retusa,,AH407,long,other,,retusa?,retusa
157,AH248,hyacinthus/cytherea,,AH414,short,hyacinthus/cytherea,,,hyacinthus/cytherea
158,AH255,hyacinthus/cytherea,,AH421,short,hyacinthus/cytherea,,,hyacinthus/cytherea
159,AH262,lutkeni/pulchra,,AH428,long,other,,,lutkeni/pulchra
160,AH269,retusa,,AH435,long,other,,,retusa
161,AH276,hyacinthus/cytherea,,AH442,short,hyacinthus/cytherea,,,hyacinthus/cytherea
162,AH282,hyacinthus/cytherea,,AH448,short,hyacinthus/cytherea,,,hyacinthus/cytherea
163,AH207,hyacinthus/cytherea,,AH373,short,hyacinthus/cytherea,,,hyacinthus/cytherea
164,AH214,NA,couldn't assemble pairs,AH380,short,hyacinthus/cytherea,,,hyacinthus/cytherea
165,AH270,hyacinthus/cytherea,,AH436,short,hyacinthus/cytherea,,,hyacinthus/cytherea
166,AH221,hyacinthus/cytherea,,AH387,short,hyacinthus/cytherea,,,hyacinthus/cytherea
167,AH277,NA,couldn't assemble pairs,AH443,short,hyacinthus/cytherea,,,hyacinthus/cytherea
168,AH228,lutkeni/pulchra,,AH394,long,other,,,lutkeni/pulchra
170,AH283,hyacinthus/cytherea,,AH449,short,hyacinthus/cytherea,,,hyacinthus/cytherea
171,AH208,hyacinthus/cytherea,,AH374,short,hyacinthus/cytherea,,,hyacinthus/cytherea
172,AH215,retusa,,AH381,long,other,,,retusa
173,AH235,globiceps,,AH401,long - multiple bands,other,,,globiceps
174,AH222,retusa,,AH388,long,other,,,retusa
175,AH229,retusa,,AH395,long,other,,,retusa
176,AH242,hyacinthus/cytherea,,AH408,short,hyacinthus/cytherea,,,hyacinthus/cytherea
177,AH236,hyacinthus/cytherea,,AH402,short,hyacinthus/cytherea,,,hyacinthus/cytherea
178,AH249,hyacinthus/cytherea,,AH415,short,hyacinthus/cytherea,,,hyacinthus/cytherea
