Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,13C-Blank_1,13C-Blank_2,12C-Ctrl_Acropora-unlabeled_1,12C-Ctrl_Pocillopora-unlabeled_1,13C-Ctrl_Acropora-dark_1,13C-Ctrl_Pocillopora-dark_1,13C-Larvae_Pocillopora-27_1,13C-Larvae_Pocillopora-27_2,13C-Larvae_Pocillopora-27_3,13C-Larvae_Pocillopora-27_4,13C-Larvae_Pocillopora-27_5,13C-Larvae_Pocillopora-27_6,13C-Larvae_Pocillopora-30_1,13C-Larvae_Pocillopora-30_2,13C-Larvae_Pocillopora-30_3,13C-Larvae_Pocillopora-30_4,13C-Larvae_Pocillopora-30_5,13C-Larvae_Pocillopora-30_6,13C-Larvae_Pocillopora-33_1,13C-Larvae_Pocillopora-33_2,13C-Larvae_Pocillopora-33_3,13C-Larvae_Pocillopora-33_4,13C-Larvae_Pocillopora-33_5,13C-Larvae_Pocillopora-dark_1,13C-Larvae_Pocillopora-dark_2,13C-Larvae_Pocillopora-dark_3,13C-Recruit_Acropora-27_1,13C-Recruit_Acropora-27_2,13C-Recruit_Acropora-27_3,13C-Recruit_Acropora-27_4,13C-Recruit_Acropora-27_5,13C-Recruit_Acropora-30_1,13C-Recruit_Acropora-30_2,13C-Recruit_Acropora-30_3,13C-Recruit_Acropora-30_4,13C-Recruit_Acropora-30_5,13C-Recruit_Acropora-30_6,13C-Recruit_Acropora-33_1,13C-Recruit_Acropora-33_2,13C-Recruit_Acropora-33_3,13C-Recruit_Acropora-33_4,13C-Recruit_Acropora-33_5,13C-Recruit_Acropora-dark_1,13C-Recruit_Pocillopora-27_1,13C-Recruit_Pocillopora-27_2,13C-Recruit_Pocillopora-27_3,13C-Recruit_Pocillopora-27_4,13C-Recruit_Pocillopora-27_5,13C-Recruit_Pocillopora-30_1,13C-Recruit_Pocillopora-30_2,13C-Recruit_Pocillopora-30_3,13C-Recruit_Pocillopora-30_4,13C-Recruit_Pocillopora-33_1,13C-Recruit_Pocillopora-33_2,13C-Recruit_Pocillopora-33_3,13C-Recruit_Pocillopora-33_4,13C-Recruit_Pocillopora-33_5,13C-Recruit_Pocillopora-dark_1
Glutathione disulfide,20,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysine,0,0.647693768,0.492972332,0.605345204,0.484340698,0.398170443,0.419580536,0.891896373,0.96886922,0.993451905,0.994222928,0.985734766,0.99682559,0.862961096,0.835977112,0.898055951,0.856307542,0.808155629,0.879349584,0.802267185,0.833173449,0.818087324,0.750184533,0.782044246,0.779196497,0.730702678,0.818860401,0.774602132,0.798319104,0.846780684,0.838718986,0.887252533,0.849305913,0.965854921,0.935556464,0.935594621,0.890725687,0.927039817,0.938159574,0.975045011,0.976036807,0.889421926,0.963152686,0.933179036,0.96723633,0.978128728,0.944104965,0.97430204,0.958096907,0.976390476,0.968949428,0.915988808,0.964969316,0.950815625,0.951233187,0.919445698,0.936097718,0.957506272,0.962480281,0.903576912,0.934306282,0.933709454,0.912018023,0.93260532,0.988777201
Lysine,1,0.00957257,0.043924534,0.00072077,0,0.001379927,0.009452397,0,0.001657468,0,0.000712525,0.004715504,0.002331505,0.009137058,0.01394401,0,0.011552413,0.01123442,0.005650504,0.007094583,0.007382365,0.008349624,0.013887377,0.009963353,0.018013758,0.021101505,0.010963441,0.005650484,0.011395476,0.007382408,0,0,0.000802823,0,0.008011508,0,0.016121738,0.007413232,0,0.002680498,0.001792364,0.004245871,0.002808558,0.00804619,0.003389265,0.001575136,0.004720272,0.002831962,0.004088736,0.007842511,0.001392584,0.00342879,0.003685856,0.000279512,0.005031532,0.004789569,0.000563587,0.002074748,0.0028061,0.004612481,0.004760012,0.002663775,0.008766487,0.005596531,0.007589887
Lysine,2,0,0,0,0,0,0,0,0.002968325,0,0,0,0,0.014176013,0.000550535,0.002781625,0.003216634,0,0.011559533,0.005711061,0.003413137,0.007226451,0,0.003327591,0.007585218,0.005468872,0.015352906,0.035467852,0.027599374,0.020525512,0,0.000326292,0,0.000683341,0.008795359,0.003994343,0.024432022,0.009033328,0.004516085,0,0,0.01315188,0.003295915,0.006074724,0.000446441,0,0.003390352,0,0.00513129,0,0.000752373,0.007040146,0.002440548,0.004945996,0.010735967,0.008877017,0.004992177,0.002452224,0.002709489,0.012529183,0.008202375,0.008242029,0.010381931,0.007964166,0
Lysine,3,0,0,0,0,0,0,0,0.011694478,0,0,0,0,0.019382917,0.025433068,0.025221325,0.039407083,0.01283293,0.023384175,0.011015346,0.039379602,0.017027174,0.025461658,0.013039188,0.012227106,0.059659518,0.039033863,0.029019291,0.047776374,0.042711742,0,0,0,0.007061028,0.019623207,0.011671005,0.035758267,0.020705616,0.019346446,0.007850007,0.007347811,0.038550118,0.013058059,0.017484302,0.010507183,0.003226686,0.017943347,0.006424237,0.013981281,0,0.010470943,0.024464449,0.011524682,0.018039689,0.017949103,0.023220428,0.018655247,0.015078346,0.011144892,0.030592486,0.020838852,0.022917637,0.023186473,0.021727374,0
Lysine,4,0,0,0,0,0,0,0.003688835,0.00954084,0,0,0,0,0.019081051,0.012180268,0.006363677,0.028314211,0.005809997,0.024167908,0.003953133,0.008735512,0.007450376,0,0.00449677,0.007451859,0.025503345,0.031098043,0.043433107,0.036771622,0.028846763,0,0,0,0.006599037,0.018190672,0.011151086,0.02519717,0.020057679,0.016820031,0.00712054,0.007780013,0.033814831,0.013063394,0.018219471,0.010738921,0.003359571,0.015201002,0.00677556,0.012681806,0,0.010551018,0.028409295,0.009637506,0.016784397,0.011999894,0.025016193,0.016175462,0.015059179,0.013085639,0.029266991,0.01940326,0.021174879,0.029112099,0.021272526,0
Lysine,5,0.281586207,0.38471099,0.336414054,0.496719608,0.60044963,0.540346612,0.096497308,0.004414189,0.006321226,0.004732145,0.009070136,0.000842905,0.069222944,0.106401215,0.061770534,0.054291208,0.153841709,0.050474735,0.164832843,0.095520444,0.130882057,0.202173371,0.178388824,0.169341411,0.149168919,0.079745233,0.103302112,0.071793067,0.047409811,0.151380837,0.105904342,0.14643452,0.018766979,0.008164907,0.036512083,0.007244467,0.014539627,0.020298938,0.006602801,0.006608501,0.015870893,0.003872754,0.015381686,0.006274283,0.013074311,0.014640061,0.00913007,0.004781347,0.015057255,0.006453593,0.015262532,0.006582442,0.007432411,0.002604841,0.014993505,0.022072596,0.007100492,0.005929566,0.016212434,0.010220276,0.008875976,0.013874262,0.008520047,0.003496261
Lysine,6,0.061147455,0.078392144,0.057519972,0.018939694,0,0.030620455,0.007917483,0.00085548,0.000226869,0.000332402,0.000479594,0,0.006038921,0.005513793,0.005806888,0.006910909,0.008125315,0.005413561,0.005125849,0.012395491,0.010976995,0.008293061,0.008740029,0.006184151,0.008395162,0.004946113,0.008525021,0.006344983,0.006343079,0.009900177,0.006516834,0.003456743,0.001034695,0.001657883,0.001076862,0.000520648,0.001210702,0.000858927,0.000701142,0.000434504,0.004944481,0.000748634,0.001614592,0.001407577,0.000635569,0,0.00053613,0.001238633,0.000709758,0.001430061,0.00540598,0.001159651,0.001702371,0.000445475,0.003657591,0.001443213,0.000728739,0.001844034,0.003209514,0.002268942,0.00241625,0.002660725,0.002314036,0.000136651
NADP+,0,,,,,,,0.69799117,1,0,0.978077174,1,1,1,1,1,1,1,0.984114333,1,0.966886285,0.812838772,1,1,0.811886454,1,1,1,1,1,0.864519181,1,1,,1,,1,,,1,0,1,1,1,1,,,1,,0,1,1,0.957730007,0.899129231,1,1,1,1,0.938763369,0.983720195,0.917673939,0.905056534,0.729970454,1,1
NADP+,1,,,,,,,0.30200883,0,1,0.021922826,0,0,0,0,0,0,0,0.015885667,0,0.033113715,0.187161228,0,0,0.188113546,0,0,0,0,0,0.135480819,0,0,,0,,0,,,0,1,0,0,0,0,,,0,,1,0,0,0.042269993,0.100870769,0,0,0,0,0.061236631,0.016279805,0.082326061,0.094943466,0.270029546,0,0
