label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,12C_Ctrl_Acropora_unlabeled_1,12C_Ctrl_Pocillopora_unlabeled_1,13C_Blank_1,13C_Blank_2,13C_Ctrl_Acropora_dark_1,13C_Ctrl_Pocillopora_dark_1,13C_Larvae_Pocillopora_27_1,13C_Larvae_Pocillopora_27_2,13C_Larvae_Pocillopora_27_3,13C_Larvae_Pocillopora_27_4,13C_Larvae_Pocillopora_27_5,13C_Larvae_Pocillopora_27_6,13C_Larvae_Pocillopora_30_1,13C_Larvae_Pocillopora_30_2,13C_Larvae_Pocillopora_30_3,13C_Larvae_Pocillopora_30_4,13C_Larvae_Pocillopora_30_5,13C_Larvae_Pocillopora_30_6,13C_Larvae_Pocillopora_33_1,13C_Larvae_Pocillopora_33_2,13C_Larvae_Pocillopora_33_3,13C_Larvae_Pocillopora_33_4,13C_Larvae_Pocillopora_33_5,13C_Larvae_Pocillopora_dark_1,13C_Larvae_Pocillopora_dark_2,13C_Larvae_Pocillopora_dark_3,13C_Recruit_Acropora_27_1,13C_Recruit_Acropora_27_2,13C_Recruit_Acropora_27_3,13C_Recruit_Acropora_27_4,13C_Recruit_Acropora_27_5,13C_Recruit_Acropora_30_1,13C_Recruit_Acropora_30_2,13C_Recruit_Acropora_30_3,13C_Recruit_Acropora_30_4,13C_Recruit_Acropora_30_5,13C_Recruit_Acropora_30_6,13C_Recruit_Acropora_33_1,13C_Recruit_Acropora_33_2,13C_Recruit_Acropora_33_3,13C_Recruit_Acropora_33_4,13C_Recruit_Acropora_33_5,13C_Recruit_Acropora_dark_1,13C_Recruit_Pocillopora_27_1,13C_Recruit_Pocillopora_27_2,13C_Recruit_Pocillopora_27_3,13C_Recruit_Pocillopora_27_4,13C_Recruit_Pocillopora_27_5,13C_Recruit_Pocillopora_30_1,13C_Recruit_Pocillopora_30_2,13C_Recruit_Pocillopora_30_3,13C_Recruit_Pocillopora_30_4,13C_Recruit_Pocillopora_33_1,13C_Recruit_Pocillopora_33_2,13C_Recruit_Pocillopora_33_3,13C_Recruit_Pocillopora_33_4,13C_Recruit_Pocillopora_33_5,13C_Recruit_Pocillopora_dark_1
,454,472,3,277.134705,2.65,0.845999,,C13-label-9,Adenosine,Adenosine,C10H13N5O4,0.05,1.761894,268.103729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2535.78,2535.62,3765.54,3199.27,3451.43,0,0,5364.49,4450.2,0,13906.8,5985.92,2547.15,22977.88,19404.17,0,2144.41,0,0,0,0,0,0,0,0,3362.68,0,0,0,0,0
,473,473,53,136.061874,2.489,0.792774,[M+H]+,C12 PARENT,Adenine,Adenine,C5H5N5,0.011,0.785022,136.061874,47855.58,18226.39,79875.15,100163.62,90434.07,13224.45,10049564,5184728,14373179,1491832.62,12714101,8671142,68624.51,71088.88,71957.99,76940.88,122782.98,289996.72,32536.28,50683,36168.65,73930.77,87251.2,116969.62,29279.76,52595.81,78917.56,84717.83,83801.32,68823.7,247411.98,53241.9,1263772.12,8312570.5,892757.56,4932804,7251401.5,6061154,2826101.25,1257312.25,3914032.25,8674569,3637741.25,4119317.25,1834207,876027.81,12408189,9566343,11936361,444021.97,383059.75,106548.21,5015387.5,330749.78,5908676.5,2520090.25,599046.31,404515.34,1002202.69,508504,408491.41,381124,275861,614143.06
,473,477,39,137.065216,2.508,0.853803,,C13-label-1,Adenine,Adenine,C5H5N5,0.008,0.667951,136.061874,2019.74,1197.85,2964.63,5574.32,8028.22,0,590140.31,292838.75,896820.31,105636.94,702268.44,499220.12,10686.16,9862.58,7984.93,9751.38,9514.35,31397.11,3182.34,2652.73,0,3892.13,9885.88,9178.72,2454.12,2965.44,4627.06,3070,3794.88,5322.5,20265.52,2240.81,97829.88,486119.12,74313.31,289525.34,458960.16,349648.38,176058.58,111012.29,233593.08,512619,276351.47,237574.23,114251.16,59302.59,727429.81,543351.75,830950.06,34919.91,25168.86,9477.73,359427,14415.22,343202.28,202692.61,43303.42,31148.04,72094.12,34789.57,23061.27,27666.96,22206.02,39058.89
,473,478,19,138.068665,2.535,0.848181,,C13-label-2,Adenine,Adenine,C5H5N5,0.035,1.326193,136.061874,0,0,0,0,0,0,14792.55,7604.65,49038.51,10649.17,8869.79,7723.56,0,0,0,0,0,9021.23,0,0,0,0,0,0,0,0,0,1803.4,0,0,0,0,11249.74,9031.54,5200.29,5675.69,36987.41,9390.4,15042.53,17640.38,9446.35,16266.09,23686.11,18062.8,19581.67,5843.95,36793.47,23725.81,23709.84,2321.39,0,0,18205.31,0,11597.87,23884.74,0,0,3954.64,3244.72,1643.79,2407.01,3392.9,0
,479,479,14,243.098236,2.123,0.829503,[M+H]+,C12 PARENT,Thymidine,Thymidine,C10H14N2O5,0.173,2.824568,243.098236,1102.36,0,2603.75,2349.66,3872.51,0,158031.89,19185.56,1330210.12,22440.12,631953.69,34276.86,0,2650.49,0,14721.84,2631.71,1339.88,0,0,2591.76,0,4566.48,1806.21,16474.63,0,0,0,0,68294.87,0,0,24521.73,30490.87,2351.89,4488.85,3690.69,4101.2,8988.49,8926.24,8208.64,4325.37,0,8197.79,20582.27,0,39252.86,35463.09,7525.73,0,3397.13,2174.99,2756.28,1708.53,27505.28,0,2718.56,3116.87,5118.2,17160.34,33978.25,6826.47,2928.96,3023.67
,480,480,42,298.09668,1.913,0.853946,[M+H]+,C12 PARENT,5- Methylthioadenosine,5- Methylthioadenosine,C11H15N5O3S,0.013,0.511874,298.09668,0,0,0,0,0,0,2805914.25,80442.35,487164.28,52873.49,194848.73,124032.7,14689.09,12446.84,25385.14,16771.96,13601.2,11463.62,0,1870.62,0,6629.48,21946.71,0,3476.49,7483.28,16254.05,3285.54,4511.85,4579.97,0,9305.81,819218.94,526378.94,468909.47,221061.56,341567.66,341590.03,306488.75,499779.09,275177.88,201837.19,228688.25,342622.97,598519.12,238290.14,488709.66,418944.75,3686431,772515.94,41455.66,91947.66,90072.19,90315,34969.84,80952.75,16913.03,35961.76,123365.23,65726.06,100677.41,58874.39,287527.16,137810.42
,480,488,26,299.099762,1.888,0.853159,,C13-label-1,5- Methylthioadenosine,5- Methylthioadenosine,C11H15N5O3S,0.012,1.428438,298.09668,0,0,1958.19,0,0,0,308454.47,6276.09,150585.97,9591.8,29820.99,0,0,0,0,2849.49,0,0,0,2212.21,2095.89,0,3842.52,0,2314.53,4379.24,0,0,0,2140.73,0,0,227536.89,163045.94,129362.81,74496.62,83357.57,106838.91,75611.12,147155.55,120768.41,61056.66,76939.75,79538.26,102861.53,64405.59,76991.73,80231.38,679393.69,209093.83,7202.87,34881.81,19077.66,23141.12,3077.78,21023.96,0,0,26730.71,14417.02,26352.29,0,62848.11,3234.4
,480,481,14,300.103241,1.916,0.851037,,C13-label-2,5- Methylthioadenosine,5- Methylthioadenosine,C11H15N5O3S,0.016,1.016902,298.09668,0,0,0,0,0,0,15611.21,0,34587,0,0,5270.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62748.55,57156,44274.28,13771.29,26453.67,23970.24,25503.13,43154.05,47403.57,11269.1,25692.48,8171.47,7661.3,14652.26,32278.37,18575.82,62423.47,43511.04,0,0,0,0,0,0,0,0,0,0,0,0,8452.6,0
,480,489,6,301.106628,1.914,0.843435,,C13-label-3,5- Methylthioadenosine,5- Methylthioadenosine,C11H15N5O3S,0.014,0.912162,298.09668,0,0,0,0,0,0,0,0,14043.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52792.14,24278.34,34251.08,15673.81,11439.73,19918.3,4937.17,29685.74,29648.68,0,8890.42,13880.68,4771.49,6584.56,16107.15,21642.42,0,14901.45,0,0,0,0,2431.45,0,0,0,0,0,0,0,9663.99,0
,480,482,6,302.110168,1.914,0.850557,,C13-label-4,5- Methylthioadenosine,5- Methylthioadenosine,C11H15N5O3S,0.014,0.202029,298.09668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52354.8,27431.13,8560.5,5774.7,12801.32,26497.03,8110.36,40795.4,29864.29,4472.76,21013.09,10816.44,7202.69,0,16065.96,8737.99,0,6717.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,480,483,4,303.113495,1.908,0.844899,,C13-label-5,5- Methylthioadenosine,5- Methylthioadenosine,C11H15N5O3S,0.008,0.302041,298.09668,0,0,0,0,0,0,0,0,14466.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37567.08,7178.64,6134.83,0,0,8936.43,0,9569.75,30688.27,0,7117.8,9267.62,13128.32,0,9274.07,24221.87,0,0,0,0,0,1464.58,0,0,0,0,0,0,0,0,7757.58,0
,480,484,0,304.116913,1.921,0.47132,,C13-label-6,5- Methylthioadenosine,5- Methylthioadenosine,C11H15N5O3S,0.021,0.100348,298.09668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17740.58,0,0,0,0,4415.94,0,0,0,4512.23,0,0,6941.05,0,6668.9,13417.87,0,5700.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,490,490,35,315.231384,1.171,0.852766,[M+H]+,C12 PARENT,11a-Hydroxyprogesterone,11a-Hydroxyprogesterone,C21H30O2,0.031,1.452149,315.231384,0,1383.33,3683.48,0,0,0,32829.79,61473.86,97968.91,91832.94,48698.49,216326.92,0,4052.05,0,9063.92,0,4195.14,5537.11,4436.77,15240.96,4441.39,0,2888.03,3256.61,3038.94,0,2601.22,0,2571.35,0,6982.28,29441.17,106923.38,34567.8,35900.97,28968.21,60634.23,58118.32,36719.95,32933.93,17002.71,4165.44,37832.83,0,76931.2,63436.66,37247.07,53522.7,19670.32,66126.25,11021,31672.15,51248.64,56944.64,56771.38,72226.39,155117.88,159669.36,95939.52,46080.91,49960.52,71474.55,82944.23
