Compound,n_observations,df_group,F_group,R2_group,p_group,df_temperature,F_temperature,R2_temperature,p_temperature,df_group_temp,F_group_temp,R2_group_temp,p_group_temp,ran_permanova,note,p_group_FDR,p_temperature_FDR,p_group_temp_FDR
Serine,47,2,45.726995228482295,0.6143929430680465,0.001,2,9.13543550075687,0.12274471732667609,0.001,4,0.5848618151733872,0.01636349865534083,0.756,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.9426666666666667
Taurine,47,2,56.898356218309225,0.7092616377492839,0.001,2,1.5453533582765417,0.019263471331002643,0.184,4,1.0728260909525846,0.026562214754170275,0.375,TRUE,NA,0.0011477272727272727,0.37033333333333335,0.7729591836734693
Thiamine,39,2,9.624530499054822,0.33558650229895,0.001,2,2.462836804520985,0.08587377732799394,0.063,4,0.4410400611694692,0.03292111271471627,0.91,TRUE,NA,0.0011477272727272727,0.16574358974358974,0.9674736842105264
Threonine,47,2,10.025315571616968,0.24487885026490425,0.001,2,9.431245832998696,0.23036807366831769,0.001,4,0.6721719186011007,0.03389527748947344,0.718,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.9426666666666667
Thymidine,47,2,33.824567117807625,0.6042940300008217,0.001,2,1.5531299686322733,0.027747499756345124,0.215,4,2.473896293820819,0.07751421421121889,0.044,TRUE,NA,0.0011477272727272727,0.39481818181818185,0.18516666666666665
Thymine,47,2,16.524646150783454,0.43267544311327133,0.001,2,0.9666521372586742,0.025310474911740124,0.456,4,1.1662034191472372,0.060119287051203306,0.331,TRUE,NA,0.0011477272727272727,0.6223783783783784,0.7638124999999999
Trimethylamine oxide,47,2,0.8219431293190099,0.03537216701727114,0.518,2,1.3759180279057657,0.059212371938044066,0.187,4,0.781664957739503,0.06870627247139591,0.693,TRUE,NA,0.518,0.37033333333333335,0.9426666666666667
Tryptophan,47,2,41.58272810475218,0.6467875505420239,0.001,2,1.3557094115018473,0.021087023614783925,0.262,4,1.3023142239566157,0.03937920515969125,0.283,TRUE,NA,0.0011477272727272727,0.4333225806451613,0.714575
Tyramine,47,2,74.99648054595107,0.7753121648166945,0.001,2,1.1138084514215847,0.011514530220304058,0.333,4,3.1859108028365104,0.054521396195445854,0.009,TRUE,NA,0.0011477272727272727,0.5157121212121213,0.07406666666666667
Tyrosine,47,2,10.188567216292272,0.31187300509446103,0.001,2,1.8739153655292213,0.05736072638415214,0.095,4,1.2969241011684673,0.0772144313351957,0.223,TRUE,NA,0.0011477272727272727,0.22313953488372096,0.5775128205128206
