"","sample_id","Light_Value","micromol.L.s","grouping.id","Species","Run","Chamber.Vol.L","Temp.Cat"
"104","ACR-R5","29",-0.0153407810464613,"ACR-R5-29","Acropora","Run1",0.177,27.8
"105","ACR-R5","317",0.0137201619433197,"ACR-R5-317","Acropora","Run1",0.177,27.8
"106","ACR-R5","514",0.0172599343185551,"ACR-R5-514","Acropora","Run1",0.177,27.8
"107","ACR-R5","700",0.00976124522536271,"ACR-R5-700","Acropora","Run1",0.177,27.8
"108","ACR-R5","79",-0.00114806680161944,"ACR-R5-79","Acropora","Run1",0.177,27.8
"109","ACR-R5","846",0.0119223376623376,"ACR-R5-846","Acropora","Run1",0.177,27.8
"110","ACR-R5","9",-0.0232133706011722,"ACR-R5-9","Acropora","Run1",0.177,27.8
"111","ACR-R6","0",-0.0248213162393161,"ACR-R6-0","Acropora","Run3",0.181,27.8
"112","ACR-R6","143",0.0183231818181831,"ACR-R6-143","Acropora","Run3",0.181,27.8
"113","ACR-R6","206",0.0218363989952198,"ACR-R6-206","Acropora","Run3",0.181,27.8
"114","ACR-R6","29",-0.00872558441558486,"ACR-R6-29","Acropora","Run3",0.181,27.8
"115","ACR-R6","317",0.0391968045112778,"ACR-R6-317","Acropora","Run3",0.181,27.8
"116","ACR-R6","514",0.039781608695653,"ACR-R6-514","Acropora","Run3",0.181,27.8
"117","ACR-R6","700",0.0374999644381226,"ACR-R6-700","Acropora","Run3",0.181,27.8
"118","ACR-R6","79",-4.95115995116834e-05,"ACR-R6-79","Acropora","Run3",0.181,27.8
"119","ACR-R6","846",0.0425123517786573,"ACR-R6-846","Acropora","Run3",0.181,27.8
"120","ACR-R6","9",-0.0195977272727275,"ACR-R6-9","Acropora","Run3",0.181,27.8
"121","ACR-R7","0",-0.0094103199174411,"ACR-R7-0","Acropora","Run3",0.198,27.8
"122","ACR-R7","143",0.00314678853754944,"ACR-R7-143","Acropora","Run3",0.198,27.8
"123","ACR-R7","206",0.00833156840934376,"ACR-R7-206","Acropora","Run3",0.198,27.8
"124","ACR-R7","29",-0.00393943833943839,"ACR-R7-29","Acropora","Run3",0.198,27.8
"125","ACR-R7","317",0.0128149299719889,"ACR-R7-317","Acropora","Run3",0.198,27.8
"126","ACR-R7","514",0.0169171457489879,"ACR-R7-514","Acropora","Run3",0.198,27.8
"127","ACR-R7","700",0.0147455434782609,"ACR-R7-700","Acropora","Run3",0.198,27.8
"128","ACR-R7","79",-0.00196935707678087,"ACR-R7-79","Acropora","Run3",0.198,27.8
"129","ACR-R7","846",0.0222035440613017,"ACR-R7-846","Acropora","Run3",0.198,27.8
"130","ACR-R7","9",-0.0113489303885291,"ACR-R7-9","Acropora","Run3",0.198,27.8
"131","ACR-R8","0",-0.0219502979373562,"ACR-R8-0","Acropora","Run3",0.19,27.8
"132","ACR-R8","143",0.0145147130647132,"ACR-R8-143","Acropora","Run3",0.19,27.8
"133","ACR-R8","206",0.0208413043478245,"ACR-R8-206","Acropora","Run3",0.19,27.8
"134","ACR-R8","29",-0.00800982905982921,"ACR-R8-29","Acropora","Run3",0.19,27.8
"135","ACR-R8","317",0.0359293741109536,"ACR-R8-317","Acropora","Run3",0.19,27.8
"136","ACR-R8","514",0.0479165955429107,"ACR-R8-514","Acropora","Run3",0.19,27.8
"137","ACR-R8","700",0.0466129679144388,"ACR-R8-700","Acropora","Run3",0.19,27.8
"138","ACR-R8","79",-0.0015957391304348,"ACR-R8-79","Acropora","Run3",0.19,27.8
"139","ACR-R8","846",0.0492936644772826,"ACR-R8-846","Acropora","Run3",0.19,27.8
"140","ACR-R8","9",-0.0186247784221472,"ACR-R8-9","Acropora","Run3",0.19,27.8
"141","ACR-R9","0",-0.0128691538461549,"ACR-R9-0","Acropora","Run3",0.189,27.8
"142","ACR-R9","143",-0.0107158803418806,"ACR-R9-143","Acropora","Run3",0.189,27.8
"143","ACR-R9","206",-0.00398869565217393,"ACR-R9-206","Acropora","Run3",0.189,27.8
"144","ACR-R9","29",0.0142337912087916,"ACR-R9-29","Acropora","Run3",0.189,27.8
"145","ACR-R9","317",-0.00102023076923094,"ACR-R9-317","Acropora","Run3",0.189,27.8
"146","ACR-R9","514",0.0102685982905985,"ACR-R9-514","Acropora","Run3",0.189,27.8
"147","ACR-R9","700",0.0134264800514801,"ACR-R9-700","Acropora","Run3",0.189,27.8
"148","ACR-R9","79",-0.0120941025641026,"ACR-R9-79","Acropora","Run3",0.189,27.8
"149","ACR-R9","846",0.0162045161290319,"ACR-R9-846","Acropora","Run3",0.189,27.8
"150","ACR-R9","9",-0.0108939560439558,"ACR-R9-9","Acropora","Run3",0.189,27.8
"151","BK-1","0",0.0016013904338154,"BK-1-0","Blank","Run1",0.194,27.8
"152","BK-1","143",-0.00186804375804366,"BK-1-143","Blank","Run1",0.194,27.8
"153","BK-1","206",0.000165059829059832,"BK-1-206","Blank","Run1",0.194,27.8
"154","BK-1","29",-0.00159259740259726,"BK-1-29","Blank","Run1",0.194,27.8
"155","BK-1","317",-0.00264922003284079,"BK-1-317","Blank","Run1",0.194,27.8
"156","BK-1","514",-0.00138372434017591,"BK-1-514","Blank","Run1",0.194,27.8
"157","BK-1","700",-0.00247721674876847,"BK-1-700","Blank","Run1",0.194,27.8
"158","BK-1","79",-0.00069436836561071,"BK-1-79","Blank","Run1",0.194,27.8
"159","BK-1","846",-0.00236463508042461,"BK-1-846","Blank","Run1",0.194,27.8
"160","BK-1","9",-0.00121641711229942,"BK-1-9","Blank","Run1",0.194,27.8
"161","BK-2","0",0.00228546122994646,"BK-2-0","Blank","Run1",0.191,27.8
"162","BK-2","143",-0.00338166778074876,"BK-2-143","Blank","Run1",0.191,27.8
"163","BK-2","206",-0.00197863636363631,"BK-2-206","Blank","Run1",0.191,27.8
"164","BK-2","29",-0.00397377119950658,"BK-2-29","Blank","Run1",0.191,27.8
"165","BK-2","317",-0.00446326923076932,"BK-2-317","Blank","Run1",0.191,27.8
"166","BK-2","514",-0.00193218582887712,"BK-2-514","Blank","Run1",0.191,27.8
"167","BK-2","700",-0.00307278745644599,"BK-2-700","Blank","Run1",0.191,27.8
"168","BK-2","79",-0.00268579831932773,"BK-2-79","Blank","Run1",0.191,27.8
"169","BK-2","846",-0.00251661925082977,"BK-2-846","Blank","Run1",0.191,27.8
"170","BK-2","9",-0.0028956370656371,"BK-2-9","Blank","Run1",0.191,27.8
"171","BK-3","0",-0.00211887387387375,"BK-3-0","Blank","Run2",0.19,27.8
"172","BK-3","143",-0.00404218574108819,"BK-3-143","Blank","Run2",0.19,27.8
"173","BK-3","206",0.000843014705882366,"BK-3-206","Blank","Run2",0.19,27.8
"174","BK-3","29",-0.00392985199485182,"BK-3-29","Blank","Run2",0.19,27.8
"175","BK-3","317",-0.00419132591093125,"BK-3-317","Blank","Run2",0.19,27.8
"176","BK-3","514",-0.00507188311688302,"BK-3-514","Blank","Run2",0.19,27.8
"177","BK-3","700",-0.00383025722339673,"BK-3-700","Blank","Run2",0.19,27.8
"178","BK-3","79",0.00199620098039218,"BK-3-79","Blank","Run2",0.19,27.8
"179","BK-3","846",-0.00418751742160279,"BK-3-846","Blank","Run2",0.19,27.8
"180","BK-3","9",-0.00285576086956532,"BK-3-9","Blank","Run2",0.19,27.8
"181","BK-4","0",-0.000598097974821866,"BK-4-0","Blank","Run2",0.181,27.8
"182","BK-4","143",-0.00458993983957211,"BK-4-143","Blank","Run2",0.181,27.8
"183","BK-4","206",0.00162467532467535,"BK-4-206","Blank","Run2",0.181,27.8
