"","sample_id","Light_Value","micromol.L.s","grouping.id","Species","Lifestage","Run","Chamber.Vol.L","Temp.Cat"
"149","POR-A6",0,-0.0244378418284159,"POR-A6-0","Porites","Adult","Run5",0.186,33
"150","POR-A6",550,0.0180174696356278,"POR-A6-550","Porites","Adult","Run5",0.186,33
"151","POR-A7",0,-0.0183019547511311,"POR-A7-0","Porites","Adult","Run3",0.186,30
"152","POR-A7",550,0.02089245243129,"POR-A7-550","Porites","Adult","Run3",0.186,30
"153","POR-A8",0,-0.0201260338285424,"POR-A8-0","Porites","Adult","Run4",0.19,30
"154","POR-A8",550,0.0246253548776801,"POR-A8-550","Porites","Adult","Run4",0.19,30
"155","POR-A9",0,-0.0203281338481335,"POR-A9-0","Porites","Adult","Run3",0.188,30
"156","POR-A9",550,0.0321784482758622,"POR-A9-550","Porites","Adult","Run3",0.188,30
"157","POR-R11",0,-0.00470333556408727,"POR-R11-0","Porites","Recruit","Run4",0.189,30
"158","POR-R11",550,0.00107854915460157,"POR-R11-550","Porites","Recruit","Run4",0.189,30
"159","POR-R13",0,-0.00464413793103439,"POR-R13-0","Porites","Recruit","Run1",0.194,33
"160","POR-R13",550,0.010654215542522,"POR-R13-550","Porites","Recruit","Run1",0.194,33
"161","POR-R14",0,-0.0238486325439263,"POR-R14-0","Porites","Recruit","Run3",0.184,30
"162","POR-R14",550,0.031919090909096,"POR-R14-550","Porites","Recruit","Run3",0.184,30
"163","POR-R15",0,-0.00699964153561532,"POR-R15-0","Porites","Recruit","Run5",0.189,33
"164","POR-R15",550,0.00482201751736633,"POR-R15-550","Porites","Recruit","Run5",0.189,33
"165","POR-R16",0,-0.00534104560622872,"POR-R16-0","Porites","Recruit","Run3",0.191,30
"166","POR-R16",550,0.00429697478991574,"POR-R16-550","Porites","Recruit","Run3",0.191,30
"167","POR-R17",0,-0.00631911128835921,"POR-R17-0","Porites","Recruit","Run6",0.192,27
"168","POR-R17",550,0.00245100072927617,"POR-R17-550","Porites","Recruit","Run6",0.192,27
"169","POR-R18",0,-0.00840843999062374,"POR-R18-0","Porites","Recruit","Run2",0.192,27
"170","POR-R18",550,0.00641208065618594,"POR-R18-550","Porites","Recruit","Run2",0.192,27
"171","POR-R19",0,-0.00845276409414274,"POR-R19-0","Porites","Recruit","Run1",0.186,33
"172","POR-R19",550,0.0114985502869223,"POR-R19-550","Porites","Recruit","Run1",0.186,33
"173","POR-R20",0,-0.0202228511530405,"POR-R20-0","Porites","Recruit","Run6",0.177,27
"174","POR-R20",550,0.027065833333333,"POR-R20-550","Porites","Recruit","Run6",0.177,27
"175","POR-R21",0,-0.00797622069451797,"POR-R21-0","Porites","Recruit","Run4",0.188,30
"176","POR-R21",550,0.0118489126088158,"POR-R21-550","Porites","Recruit","Run4",0.188,30
"177","POR-R22",0,-0.00875829054666266,"POR-R22-0","Porites","Recruit","Run2",0.188,27
"178","POR-R22",550,0.0113072412965187,"POR-R22-550","Porites","Recruit","Run2",0.188,27
"179","POR-R24",0,-0.0236403638606233,"POR-R24-0","Porites","Recruit","Run5",0.187,33
"180","POR-R24",550,0.0245614470256192,"POR-R24-550","Porites","Recruit","Run5",0.187,33
"181","POR-R25",0,-0.0113854132701711,"POR-R25-0","Porites","Recruit","Run4",0.192,30
"182","POR-R25",550,0.0092023707918446,"POR-R25-550","Porites","Recruit","Run4",0.192,30
"183","POR-R26",0,-0.00521023905529913,"POR-R26-0","Porites","Recruit","Run6",0.193,27
"184","POR-R26",550,0.0014875774309723,"POR-R26-550","Porites","Recruit","Run6",0.193,27
"185","POR-R27",0,-0.0118383871942013,"POR-R27-0","Porites","Recruit","Run5",0.186,33
"186","POR-R27",550,0.00778086510263924,"POR-R27-550","Porites","Recruit","Run5",0.186,33
"187","POR-R28",0,-0.00935892691951904,"POR-R28-0","Porites","Recruit","Run1",0.192,33
"188","POR-R28",550,0.0162204661301139,"POR-R28-550","Porites","Recruit","Run1",0.192,33
"189","POR-R29",0,-0.00585995309568487,"POR-R29-0","Porites","Recruit","Run3",0.194,30
"190","POR-R29",550,0.00734839339991334,"POR-R29-550","Porites","Recruit","Run3",0.194,30
"191","POR-R30",0,-0.0130413131313136,"POR-R30-0","Porites","Recruit","Run2",0.186,27
"192","POR-R30",550,0.0141215481886535,"POR-R30-550","Porites","Recruit","Run2",0.186,27
