Run ID,Assay Name,Test Name,Test Date,Qubit tube conc.,Qubit tube conc. units,Original sample conc.,Original sample conc. units,Sample Volume (uL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112758,RNA 53,142,ng/mL,14.2,ng/uL,2,100,46.24,787.14,,Red,Far Red,,282.67
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112805,RNA 54,86.6,ng/mL,8.66,ng/uL,2,100,46.24,787.14,,Red,Far Red,,188.47
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112812,RNA 55,301,ng/mL,30.1,ng/uL,2,100,46.24,787.14,,Red,Far Red,,529.17
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112820,RNA 56,156,ng/mL,15.6,ng/uL,2,100,46.24,787.14,,Red,Far Red,,305.13
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112827,RNA 57,167,ng/mL,16.7,ng/uL,2,100,46.24,787.14,,Red,Far Red,,322.5
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112834,RNA 58,62.4,ng/mL,6.24,ng/uL,2,100,46.24,787.14,,Red,Far Red,,147.02
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112841,RNA 59,142,ng/mL,14.2,ng/uL,2,100,46.24,787.14,,Red,Far Red,,281.84
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112847,RNA 60,201,ng/mL,20.1,ng/uL,2,100,46.24,787.14,,Red,Far Red,,377.31
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112855,RNA 61,241,ng/mL,24.1,ng/uL,2,100,46.24,787.14,,Red,Far Red,,440.14
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112902,RNA 62,49.8,ng/mL,4.98,ng/uL,2,100,46.24,787.14,,Red,Far Red,,125.62
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112909,RNA 63,219,ng/mL,21.9,ng/uL,2,100,46.24,787.14,,Red,Far Red,,405.66
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112916,RNA 64,85.6,ng/mL,8.56,ng/uL,2,100,46.24,787.14,,Red,Far Red,,186.68
