label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,12C_Ctrl_Acropora_unlabeled_1,12C_Ctrl_Pocillopora_unlabeled_1,13C_Blank_1,13C_Blank_2,13C_Ctrl_Acropora_dark_1,13C_Ctrl_Pocillopora_dark_1,13C_Larvae_Pocillopora_27_1,13C_Larvae_Pocillopora_27_2,13C_Larvae_Pocillopora_27_3,13C_Larvae_Pocillopora_27_4,13C_Larvae_Pocillopora_27_5,13C_Larvae_Pocillopora_27_6,13C_Larvae_Pocillopora_30_1,13C_Larvae_Pocillopora_30_2,13C_Larvae_Pocillopora_30_3,13C_Larvae_Pocillopora_30_4,13C_Larvae_Pocillopora_30_5,13C_Larvae_Pocillopora_30_6,13C_Larvae_Pocillopora_33_1,13C_Larvae_Pocillopora_33_2,13C_Larvae_Pocillopora_33_3,13C_Larvae_Pocillopora_33_4,13C_Larvae_Pocillopora_33_5,13C_Larvae_Pocillopora_dark_1,13C_Larvae_Pocillopora_dark_2,13C_Larvae_Pocillopora_dark_3,13C_Recruit_Acropora_27_1,13C_Recruit_Acropora_27_2,13C_Recruit_Acropora_27_3,13C_Recruit_Acropora_27_4,13C_Recruit_Acropora_27_5,13C_Recruit_Acropora_30_1,13C_Recruit_Acropora_30_2,13C_Recruit_Acropora_30_3,13C_Recruit_Acropora_30_4,13C_Recruit_Acropora_30_5,13C_Recruit_Acropora_30_6,13C_Recruit_Acropora_33_1,13C_Recruit_Acropora_33_2,13C_Recruit_Acropora_33_3,13C_Recruit_Acropora_33_4,13C_Recruit_Acropora_33_5,13C_Recruit_Acropora_dark_1,13C_Recruit_Pocillopora_27_1,13C_Recruit_Pocillopora_27_2,13C_Recruit_Pocillopora_27_3,13C_Recruit_Pocillopora_27_4,13C_Recruit_Pocillopora_27_5,13C_Recruit_Pocillopora_30_1,13C_Recruit_Pocillopora_30_2,13C_Recruit_Pocillopora_30_3,13C_Recruit_Pocillopora_30_4,13C_Recruit_Pocillopora_33_1,13C_Recruit_Pocillopora_33_2,13C_Recruit_Pocillopora_33_3,13C_Recruit_Pocillopora_33_4,13C_Recruit_Pocillopora_33_5,13C_Recruit_Pocillopora_dark_1,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6
,19,26,36,146.101562,11.355,0.850042,,C13-label-1,Lysine,Lysine,C6H14N2O2,1.315,0.313319,145.098206,42462.47,45281.12,1832.44,41121.46,30447.60,141410.89,1518.52,1248.99,1552.80,1006.50,0.00,2363.72,793.28,960.96,0.00,1129.65,0.00,0.00,1284.23,1205.28,1089.92,1249.53,1409.43,842.25,1539.77,1728.82,12755.16,37250.56,6536.16,37691.40,19124.70,13933.47,14709.75,19587.53,13572.74,22973.90,8672.47,24109.62,19550.67,13743.79,18945.89,38248.73,19581.43,12865.19,24585.25,12209.82,39536.86,25105.06,85639.13,11936.86,24983.32,46612.54,74041.49,93415.12,40300.77,14948.43,31642.34,91191.19,0.00,0.00,0.00,0.00,0.00,0.00
,19,27,20,147.104950,11.369,0.844167,,C13-label-2,Lysine,Lysine,C6H14N2O2,1.301,0.103727,145.098206,0.00,0.00,0.00,6503.89,1002.69,4897.74,0.00,0.00,1043.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,990.54,923.10,0.00,1006.32,0.00,0.00,0.00,0.00,1237.30,10082.50,0.00,16511.92,4028.67,1471.93,0.00,0.00,4164.37,3401.47,1245.99,3352.07,896.12,2089.34,1102.32,7298.22,0.00,999.93,4790.91,1182.95,8198.00,7928.40,18385.61,1280.14,3773.27,5487.69,23314.80,21100.92,11607.78,4182.37,6380.36,3018.94,0.00,0.00,0.00,0.00,0.00,0.00
,19,28,23,148.108337,11.333,0.846106,,C13-label-3,Lysine,Lysine,C6H14N2O2,1.337,0.206049,145.098206,0.00,0.00,0.00,7728.30,0.00,0.00,1178.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,940.10,971.84,0.00,2542.15,1199.84,0.00,0.00,0.00,1149.11,12840.84,0.00,20246.68,6384.80,3376.42,1275.64,2512.76,8763.75,2000.26,2039.10,3724.88,0.00,2798.83,1504.85,8822.14,0.00,2561.29,10908.17,1892.45,12696.87,8582.62,34658.00,2668.82,6485.68,8116.97,31878.81,28238.97,12861.84,8293.32,11809.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,19,29,23,149.111633,11.363,0.846748,,C13-label-4,Lysine,Lysine,C6H14N2O2,1.307,0.204663,145.098206,0.00,0.00,0.00,6481.68,0.00,0.00,950.72,0.00,991.94,1374.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1204.50,1381.85,1090.13,1115.52,0.00,0.00,0.00,0.00,1088.63,10498.23,0.00,13050.42,7238.15,1861.34,2609.02,3389.47,6507.17,4857.55,1736.85,4293.06,0.00,1709.98,1407.84,7373.21,0.00,1863.84,9559.34,1932.35,11578.05,5870.42,34682.48,2864.64,6551.71,9974.95,33010.39,30424.64,15716.46,6852.31,13054.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,19,30,12,150.114990,11.353,0.843739,,C13-label-5,Lysine,Lysine,C6H14N2O2,1.317,0.203295,145.098206,0.00,0.00,0.00,3299.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,946.92,4025.00,0.00,4583.93,5045.85,1027.30,0.00,1072.08,3521.06,1349.09,1174.57,2828.75,0.00,1529.03,1175.04,3431.24,0.00,2161.48,6461.03,1321.22,4478.48,1552.11,18231.81,1133.47,1927.09,6953.21,18402.33,16601.91,9098.46,4523.75,7281.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,19,33,2,151.118301,11.402,0.842245,,C13-label-6,Lysine,Lysine,C6H14N2O2,1.268,0.504862,145.098206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1112.91,0.00,0.00,1106.90,0.00,0.00,0.00,918.19,0.00,0.00,1108.29,0.00,0.00,0.00,944.86,0.00,0.00,973.93,0.00,899.01,0.00,5981.11,0.00,0.00,1208.53,4400.85,2101.27,1326.26,1031.41,950.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,34,34,19,742.071289,12.463,0.846682,[M-H]-,C12 PARENT,NADP+,NADP+,C21H28N7O17P3,0.177,4.194753,742.071289,2502.06,22833.88,1783.38,4241.02,1757.52,16085.66,2270.75,3717.25,1802.02,1673.39,0.00,4400.83,0.00,1589.02,0.00,1668.28,1924.54,0.00,1553.57,1798.35,1738.27,0.00,1565.29,3375.34,7120.81,2314.73,1490.72,0.00,0.00,0.00,1328.59,1747.35,0.00,1291.55,3604.00,0.00,0.00,1379.35,1287.58,1336.93,1296.72,1513.49,1111.28,1942.56,2905.84,8929.27,21680.68,16809.17,7092.83,4816.78,14430.10,8334.14,7215.75,3444.56,7887.83,1709.94,10294.41,15444.22,0.00,0.00,0.00,0.00,0.00,0.00
,34,37,8,743.074158,12.499,0.836230,,C13-label-1,NADP+,NADP+,C21H28N7O17P3,0.141,3.531977,742.071289,1415.83,3377.02,1296.73,1276.08,0.00,2089.74,0.00,1333.26,0.00,0.00,0.00,1310.56,1268.43,0.00,0.00,1524.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1317.64,1266.40,1385.57,0.00,0.00,1828.24,1360.89,0.00,0.00,0.00,0.00,0.00,0.00,1394.66,1776.96,6930.24,4529.06,2008.75,3034.83,4400.46,1972.23,1487.33,0.00,2861.50,0.00,3350.02,6093.79,0.00,0.00,0.00,0.00,0.00,0.00
,38,38,59,173.104446,10.677,0.855520,[M-H]-,C12 PARENT,Arginine,Arginine,C6H14N4O2,0.933,0.264444,173.104446,191681.70,807475.50,158324.55,641412.00,497620.66,597747.06,73325.53,72148.27,52631.19,45179.50,38685.83,62976.86,45195.48,33030.17,38112.13,37945.90,38185.99,35949.44,34183.19,66252.37,45590.36,51734.55,55543.61,28174.73,49530.69,57806.24,462555.25,760082.81,199181.17,890296.44,546715.56,588517.62,440342.97,477994.91,418419.41,298192.47,324389.00,375202.41,506160.50,467476.00,453791.28,809307.25,340090.97,799132.44,546358.56,398385.25,1148184.12,793102.25,2350812.25,250754.12,796816.19,1148049.88,1567611.12,1057445.12,452127.53,663113.69,1353364.12,1190356.00,1423.25,1859.86,1961.65,1634.43,1634.40,1192.43
,38,45,56,174.107758,10.629,0.851384,,C13-label-1,Arginine,Arginine,C6H14N4O2,0.981,0.000000,173.104446,11212.37,56466.61,12244.21,52024.39,41575.84,50445.96,9253.80,8852.73,6465.03,5799.82,3141.31,8093.44,4759.57,3276.64,4177.11,3148.18,2999.89,4158.15,4412.43,9270.66,6136.22,7441.08,5323.96,2129.12,3570.60,3433.48,37834.61,76621.47,19095.36,90809.24,46636.01,54198.90,37108.02,43472.94,37806.33,28633.85,26790.46,39196.12,44347.56,75215.44,48351.85,91238.81,39180.99,76703.34,48916.48,34811.30,100020.88,70064.88,191080.42,20284.84,63009.06,95337.90,163161.64,104916.12,43707.25,75698.07,126681.91,105213.96,0.00,0.00,0.00,0.00,0.00,0.00
,38,46,15,175.111252,10.669,0.840977,,C13-label-2,Arginine,Arginine,C6H14N4O2,0.941,0.784240,173.104446,0.00,1076.28,0.00,1799.34,1166.59,991.69,4569.85,2787.18,1403.41,1230.34,1053.49,1199.29,795.23,0.00,0.00,0.00,0.00,0.00,0.00,1351.50,863.91,895.78,1148.41,0.00,0.00,0.00,4029.62,7265.38,0.00,6911.65,1770.93,2995.88,1549.93,1719.86,2832.94,2409.86,1287.88,3860.50,1201.92,14200.60,3344.62,14550.37,1951.12,4330.00,1540.93,1746.99,6068.35,1950.34,9988.57,1198.08,1866.32,5827.44,11298.44,8643.32,1793.45,5300.32,6526.43,5466.04,0.00,0.00,0.00,0.00,0.00,0.00
,38,47,14,176.114594,10.665,0.839738,,C13-label-3,Arginine,Arginine,C6H14N4O2,0.945,0.779772,173.104446,0.00,0.00,0.00,0.00,0.00,776.30,4034.98,2705.75,1716.60,1690.98,1102.40,1278.29,0.00,841.58,0.00,0.00,0.00,0.00,0.00,1110.34,0.00,984.79,1135.00,0.00,0.00,0.00,1167.87,7269.42,0.00,3748.43,1315.82,2900.35,2515.79,1022.60,1697.33,1176.21,1047.99,4901.06,0.00,15869.85,1084.06,17070.66,0.00,1212.64,2288.01,899.74,2409.93,912.53,5650.36,0.00,1338.40,2440.07,9004.29,4857.01,0.00,4682.08,3794.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,38,48,14,177.117737,10.673,0.842415,,C13-label-4,Arginine,Arginine,C6H14N4O2,0.937,0.430753,173.104446,0.00,0.00,0.00,0.00,0.00,0.00,1783.37,1762.10,1131.34,1611.92,854.89,1031.71,0.00,0.00,0.00,0.00,0.00,874.06,0.00,0.00,0.00,906.93,0.00,0.00,0.00,0.00,2271.91,5221.33,0.00,1037.75,1095.88,1072.74,1560.51,1196.90,2358.69,838.36,1070.08,1976.10,0.00,16922.02,2046.85,15093.53,0.00,0.00,3623.59,968.70,1123.86,0.00,6090.63,0.00,793.74,2206.64,8285.29,4134.84,1254.45,2666.50,5202.78,0.00,0.00,0.00,893.90,0.00,0.00,0.00
,38,49,4,178.121124,10.643,0.835591,,C13-label-5,Arginine,Arginine,C6H14N4O2,0.967,0.256996,173.104446,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1251.03,0.00,0.00,0.00,1095.76,0.00,0.00,987.34,0.00,0.00,1166.19,0.00,9992.71,837.90,7739.59,0.00,0.00,885.95,0.00,0.00,0.00,1618.32,0.00,905.05,919.24,2274.92,1053.89,0.00,1178.19,1188.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,50,50,44,131.082550,10.922,0.848247,[M-H]-,C12 PARENT,Ornithine,Ornithine,C5H12N2O2,0.658,0.349218,131.082550,47130.25,103073.15,38599.02,44765.98,29329.04,231070.23,8487.88,8475.15,40221.32,7688.43,11267.55,8923.36,5235.00,4805.51,3146.80,6241.69,2372.62,6054.22,5631.63,4387.66,6388.07,5036.31,6846.22,5024.72,11021.92,13140.51,25520.63,36818.72,11877.40,48437.21,30462.06,31008.53,30440.33,26152.86,21393.31,16606.87,16375.80,31778.99,23871.46,28107.02,26653.04,42330.63,22997.27,43377.64,69941.24,28052.08,60193.91,65697.81,175271.19,15686.86,38576.00,89042.21,111279.88,82648.82,72489.09,35067.38,73859.80,114942.38,0.00,0.00,1400.11,1274.74,1225.30,1033.05
,50,53,18,132.085846,10.954,0.842087,,C13-label-1,Ornithine,Ornithine,C5H12N2O2,0.626,0.808652,131.082550,1767.80,5945.95,1658.59,3262.58,1166.55,19779.09,1074.88,1030.42,2581.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1333.63,1888.47,959.82,3313.46,1285.47,1239.84,1404.78,1747.49,1327.40,1135.93,1048.75,2331.63,1461.65,1298.93,0.00,1640.87,1790.25,2586.02,1948.94,1493.43,3372.57,2428.40,11767.86,1084.47,1675.22,6626.48,5767.87,4513.55,3627.59,1242.23,4079.81,10678.36,0.00,0.00,0.00,0.00,0.00,0.00
,54,54,9,259.022430,10.950,0.829447,[M-H]-,C12 PARENT,Glucose-6-phosphate,Glucose-6-phosphate,C6H13O9P,0.310,0.117818,259.022430,293077.28,76037.77,45694.98,35963.87,186689.88,24044.44,7418.23,8141.38,8027.33,7368.25,3248.14,10313.61,5131.82,4660.59,3216.77,4231.01,6502.61,4082.84,4426.97,11884.73,5056.02,7793.09,8302.47,9845.75,16470.41,15072.73,17667.56,23738.83,18745.09,19211.04,29335.42,28558.70,51795.75,33554.75,21218.14,33197.90,22547.66,48646.56,35572.26,21753.33,57673.51,60684.33,150379.61,8500.22,11539.93,8777.34,21345.54,23040.10,26477.54,7237.10,17619.56,22955.21,38685.39,39617.99,25503.20,20250.91,58247.29,65479.42,0.00,0.00,1862.25,0.00,1645.54,1168.67
,54,62,35,260.025909,10.919,0.842657,,C13-label-1,Glucose-6-phosphate,Glucose-6-phosphate,C6H13O9P,0.341,0.352091,259.022430,24457.36,5163.23,42163.71,11914.27,16374.26,2480.55,5051.94,3540.98,1179.34,2332.15,1377.66,4168.68,2486.55,1493.44,3753.45,1457.00,1293.36,946.77,1072.53,1499.04,1314.40,1416.79,2624.67,1124.07,0.00,1015.50,14982.71,19396.15,17226.73,23915.31,23137.45,27126.68,39785.67,31370.89,19722.71,28555.77,5212.07,25694.50,13347.40,12839.94,32186.29,26797.19,12954.87,5069.57,8213.79,6455.77,17180.81,17047.17,12147.70,6859.62,10389.25,14088.08,17737.18,17933.32,13489.97,10899.62,19000.21,6498.15,0.00,0.00,0.00,0.00,0.00,0.00
,54,63,22,261.028778,10.948,0.824565,,C13-label-2,Glucose-6-phosphate,Glucose-6-phosphate,C6H13O9P,0.312,1.519863,259.022430,6488.70,4913.13,65050.76,15534.99,3562.77,1154.47,3355.81,1546.35,4789.56,4549.67,3197.00,3148.69,2674.08,4905.02,1833.86,1450.74,1845.75,1397.58,1502.52,3113.48,1412.26,2610.07,1139.62,1040.67,1220.08,1154.51,25501.01,23461.40,24643.32,35650.18,39111.93,39364.59,49556.49,41929.66,36532.32,42808.69,11294.73,28376.15,12436.73,21611.68,28751.87,23128.67,1651.30,8905.79,15458.16,12775.71,26025.86,20023.21,21940.74,12714.31,17251.40,19889.82,22205.34,34557.52,17573.27,11536.28,20187.72,1698.11,0.00,1028.88,1078.75,1881.94,1129.50,1633.01
,54,64,27,262.032379,10.924,0.836241,,C13-label-3,Glucose-6-phosphate,Glucose-6-phosphate,C6H13O9P,0.336,0.582324,259.022430,0.00,0.00,76266.45,13820.66,0.00,0.00,1374.89,1471.95,3106.40,1390.67,1110.74,2846.89,2867.94,856.45,964.62,2199.82,2282.78,906.32,2073.83,1094.05,0.00,927.49,0.00,0.00,813.55,0.00,26563.79,23349.59,20810.26,42304.10,48234.41,40079.97,53239.88,45764.09,44541.69,43067.21,14051.61,15459.05,11213.51,19100.60,24861.87,25368.03,0.00,8479.02,23265.51,16600.55,28041.95,16937.50,27509.07,12143.14,21953.90,21793.83,23058.76,37921.20,15674.99,16606.22,22772.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,54,65,28,263.035797,10.921,0.838888,,C13-label-4,Glucose-6-phosphate,Glucose-6-phosphate,C6H13O9P,0.339,0.348062,259.022430,0.00,0.00,60965.93,10403.56,0.00,0.00,1225.11,1172.91,1133.61,1345.14,952.24,1306.34,1251.80,0.00,0.00,1098.33,1030.46,1415.43,1283.13,916.84,0.00,0.00,935.43,0.00,0.00,0.00,17722.67,13075.03,11184.25,22377.22,41889.77,32849.80,38087.62,31282.92,33234.17,30340.38,12901.41,13109.65,10032.42,26091.61,14452.40,13720.61,0.00,8050.55,17526.08,14262.32,27537.40,10399.73,25722.12,11788.40,18322.60,17230.11,16300.99,31023.53,13232.59,12970.35,21518.13,0.00,0.00,884.71,0.00,0.00,0.00,0.00
