original,file,uw hyak,same?
586c8fe76892f2855c0b9c15cd38e240,46_S167_R2_001.fastq.gz,586c8fe76892f2855c0b9c15cd38e240,TRUE
bcd70ef8bfbe282e92395c7124555a42,46_S957_R1_001.fastq.gz,bcd70ef8bfbe282e92395c7124555a42,TRUE
68e9b8c1c32c62bfce884cc567f8a30d,46_S957_R2_001.fastq.gz,68e9b8c1c32c62bfce884cc567f8a30d,TRUE
9538dd449922839caa04b93106269c55,47_S168_R1_001.fastq.gz,9538dd449922839caa04b93106269c55,TRUE
0e1ea15310a235b303e296188c0c87d0,47_S168_R2_001.fastq.gz,0e1ea15310a235b303e296188c0c87d0,TRUE
2e1df8298c006d552e54f65c58b2a399,47_S958_R1_001.fastq.gz,2e1df8298c006d552e54f65c58b2a399,TRUE
88b3b045ac4192e4ad047640b40d8820,47_S958_R2_001.fastq.gz,88b3b045ac4192e4ad047640b40d8820,TRUE
f7ff662864ab99e633b9b3d13c1c7fa3,48_S169_R1_001.fastq.gz,f7ff662864ab99e633b9b3d13c1c7fa3,TRUE
dba58220cc44acdc5bf9e2f61ea0a089,48_S169_R2_001.fastq.gz,dba58220cc44acdc5bf9e2f61ea0a089,TRUE
6af3fde6ca76c0cb4df00eecc631f159,48_S959_R1_001.fastq.gz,6af3fde6ca76c0cb4df00eecc631f159,TRUE
41595e0f155e9b3b1a032eec40b579ae,48_S959_R2_001.fastq.gz,41595e0f155e9b3b1a032eec40b579ae,TRUE
f8bd3ef29112b647c28bdf75c0ff6a1a,49_S170_R1_001.fastq.gz,f8bd3ef29112b647c28bdf75c0ff6a1a,TRUE
cf89497aadc262b3f471dcad3a57f2fa,49_S170_R2_001.fastq.gz,cf89497aadc262b3f471dcad3a57f2fa,TRUE
6ccff05b965ff1bd917372d17d9e19a3,49_S960_R1_001.fastq.gz,6ccff05b965ff1bd917372d17d9e19a3,TRUE
6820844af9b4173f3f278fc7815eb804,49_S960_R2_001.fastq.gz,6820844af9b4173f3f278fc7815eb804,TRUE
d672b50c424aa1928091426d99f0daf2,4_S125_R1_001.fastq.gz,d672b50c424aa1928091426d99f0daf2,TRUE
a931072a54513b5fa19e785cf307cb9b,4_S125_R2_001.fastq.gz,a931072a54513b5fa19e785cf307cb9b,TRUE
e1f43816d31bfb1ec3c95a5be27b0a40,4_S915_R1_001.fastq.gz,e1f43816d31bfb1ec3c95a5be27b0a40,TRUE
fb118e29d6d14f90b5303676d0ea3060,4_S915_R2_001.fastq.gz,fb118e29d6d14f90b5303676d0ea3060,TRUE
265856d649420e3b5a88174c70c7e441,50_S171_R1_001.fastq.gz,265856d649420e3b5a88174c70c7e441,TRUE
549a2c59c9623ad04c2fe70c9ec44a46,50_S171_R2_001.fastq.gz,549a2c59c9623ad04c2fe70c9ec44a46,TRUE
fe79a14a9b65bd36ff9e8bb33a99ea32,50_S961_R1_001.fastq.gz,fe79a14a9b65bd36ff9e8bb33a99ea32,TRUE
1b4f8defb46755541bb3c4fb30c9aa6a,50_S961_R2_001.fastq.gz,1b4f8defb46755541bb3c4fb30c9aa6a,TRUE
3cc744d2ada130caca2b82aadbc11578,51_S172_R1_001.fastq.gz,3cc744d2ada130caca2b82aadbc11578,TRUE
754e817b63b308e4b807b9911ceb13b9,51_S172_R2_001.fastq.gz,754e817b63b308e4b807b9911ceb13b9,TRUE
8cfbd2ff43927f9ecdb0ea276bc3e096,51_S962_R1_001.fastq.gz,8cfbd2ff43927f9ecdb0ea276bc3e096,TRUE
96b056517b1457ee14bc81c015174fee,51_S962_R2_001.fastq.gz,96b056517b1457ee14bc81c015174fee,TRUE
c6171e8e885a85b60b83e6bca650ef44,52_S173_R1_001.fastq.gz,c6171e8e885a85b60b83e6bca650ef44,TRUE
b0edc8cb932d491c2a03c432ca31286c,52_S173_R2_001.fastq.gz,b0edc8cb932d491c2a03c432ca31286c,TRUE
876e56cac5708707afd2bddf87bbbb54,52_S963_R1_001.fastq.gz,876e56cac5708707afd2bddf87bbbb54,TRUE
f946df8ff5d2669315278c7917743187,52_S963_R2_001.fastq.gz,f946df8ff5d2669315278c7917743187,TRUE
d7cf02a97cfe50671c65b0b863e2d372,53_S174_R1_001.fastq.gz,d7cf02a97cfe50671c65b0b863e2d372,TRUE
8803a398ae8516c654ab063131328e0d,53_S174_R2_001.fastq.gz,8803a398ae8516c654ab063131328e0d,TRUE
